1.0.4-5796343-20260925-082012	1.0.4	2026-09-25T08:20:12Z	2791520
1.0.3-ad2a59c-20260827-095215	1.0.3	2026-08-27T09:52:15Z	2580912
1.0.2-420a167-20260827-072910	1.0.2	2026-08-27T07:29:10Z	2555792
1.0.1-9d1b4b2-20260804-064436	1.0.1	2026-08-04T06:44:36Z	2544592
